Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Mundo Hispánico,mundohispanico,279933092023507,4576200,2020-09-13 13:00:44 EDT,Photo,2163,2849,192,285,32,76,2,38,22,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4262123337137776,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, JOE BIDEN recibe inesperada ayuda: https://bit.ly/35BqNvZ:=:https://mundohispanico.com/bloomberg-ayuda-a-biden-a-ganar-florida/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4262069350476508/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fmundohispanico%2Fphotos%2Fa.283719258311557%2F4262069350476508%2F%3Ftype%3D3,UNITED to 3033 ADEN,,,,,"5,659","5,659"
El Nuevo Día,elnuevodia,5996048750,2248500,2020-09-30 09:50:41 EDT,Link,1049,1894,585,88,64,1838,8,113,3,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158261956848751,"Opinión El Nuevo Día | Si es relecto como presidente de Estados Unidos, Trump seguirá luchando por el bienestar de Puerto Rico, afirma Luis Hernández.",https://www.elnuevodia.com/opinion/punto-de-vista/a-joe-biden-no-le-importan-los-puertorriquenos/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1601471537,,,A Joe Biden no le importan los puertorriqueños,,,,"5,642","5,642"
Mundo Hispánico,mundohispanico,279933092023507,4591841,2020-10-07 21:31:18 EDT,Photo,1687,2667,154,261,24,237,2,19,13,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4345172658832843,"EN SU PROPIA CARA. A minutos de comenzar el DEBATE, Kamala Harris le dice sus 'VERDADES' a PENCE y lo deja sin habla 👉🏻 https://bit.ly/3jEus0o:=:https://mundohispanico.com/debate-harris-pence/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4345172352166207/?type=3,,MUNDO KISPANICO ÚLTIMA HORA,,,,,"5,064","5,064"
Mundo Hispánico,mundohispanico,279933092023507,4569864,2020-08-20 21:47:55 EDT,Photo,798,3166,155,34,53,227,8,248,6,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4181337428549701,,https://www.facebook.com/MarioGuevaraNews/photos/a.626937290707062/3316519278415503/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FMarioGuevaraNews%2Fphotos%2Fa.626937290707062%2F3316519278415503%2F%3Ftype%3D3,ΜΗ ÚLTIMA HORA,Mario Guevara,"¡EN SU PROPIA CASA! A minutos de que BIDEN acepte la nominación demócrata, TRUMP le da GOLPE BAJO 👉🏻 https://bit.ly/3aHesH4:=:https://mundohispanico.com/trump-ataca-biden-pensilvania/",,,"4,695","4,695"
El Nuevo Día,elnuevodia,5996048750,2248324,2020-10-16 13:02:02 EDT,Link,2029,1397,183,404,22,427,8,78,25,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158300437443751,Junto a Alex Rodríguez participó de un conversatorio con el candidato presidencial demócrata.,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/jenniffer-lopez-endosa-oficialmente-a-joe-biden/?utm_medium=Social&utm_source=Facebook#Echobox=1602861838,,,Jenniffer López endosa oficialmente a Joe Biden,,,,"4,573","4,573"
El Nuevo Día,elnuevodia,5996048750,2247975,2020-09-26 00:38:23 EDT,Link,1351,1909,163,105,10,781,6,208,10,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158252128338751,El astro boricua exhorta a votar por el candidato presidencial demócrata Joe Biden,https://www.elnuevodia.com/corresponsalias/washington-dc/notas/ricky-martin-afirma-que-la-administracion-de-trump-se-asemeja-cada-vez-mas-a-una-dictadura/?utm_medium=Social&utm_source=Facebook#Echobox=1601095097,,,Ricky Martin afirma que la administración de Trump se asemeja cada vez más a una dictadura,,,,"4,543","4,543"
Mundo Hispánico,mundohispanico,279933092023507,4587341,2020-09-28 12:38:10 EDT,Photo,1411,2086,115,187,24,80,2,27,7,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4312921762057933,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, confirman inesperada ayuda para JOE BIDEN: https://bit.ly/2Ga5CqD:=:https://mundohispanico.com/bloomberg-campana-biden-florida-4-millones/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4312921575391285/?type=3,,,,,,,"3,939","3,939"
Mundo Hispánico,mundohispanico,279933092023507,4591886,2020-10-09 23:30:00 EDT,Photo,1384,1868,135,194,14,115,0,20,9,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4352277918122317,"""HABLO EN SERIO"". En plena batalla contra TRUMP por la presidencia, BIDEN sorprende con lo que dijo de los LATINOS: https://bit.ly/30TOVqG:=:https://mundohispanico.com/biden-latinos-futuro-estados-unidos/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4352276498122459/?type=3,,,,,,,"3,739","3,739"
Mundo Hispánico,mundohispanico,279933092023507,4593467,2020-10-22 21:57:31 EDT,Photo,487,2968,60,23,12,91,6,7,2,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4392240384126070,"""ESTAMOS MURIENDO"". En pleno debate PRESIDENCIAL Biden hace revelación a Trump 👉🏻 https://bit.ly/2FSv97F:=:https://mundohispanico.com/ultimo-debate-trump-biden/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4392240017459440/?type=3,,MUNDO HISP HISPANICO ÚLTIMA HORA,,,,,"3,656","3,656"
El Nuevo Día,elnuevodia,5996048750,2247993,2020-09-15 21:26:13 EDT,Link,1113,1179,353,200,21,522,3,49,13,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158227754368751,"Reconoce la estadidad es la alternativa más efectiva para alcanzar igualdad en el gobierno federal, pero reafirmó que trabajará con representantes de “cada una de las alternativas de status”",https://www.elnuevodia.com/corresponsalias/washington-dc/notas/joe-biden-destaca-su-plan-para-puerto-rico-en-kissimmee-junto-a-ricky-martin-y-luis-fonsi/?utm_medium=Social&utm_source=Facebook#Echobox=1600219568,,,"Joe Biden destaca su plan para Puerto Rico en Kissimmee, junto a Ricky Martin y Luis Fonsi",,,,"3,453","3,453"
Mundo Hispánico,mundohispanico,279933092023507,4587858,2020-09-30 07:00:07 EDT,Photo,842,1974,97,38,23,197,4,17,0,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4318893994794043,ÚLTIMA HORA: EE.UU. amanece tras DEBATE FUERA DE CONTROL y sale a luz la frase de BIDEN que casi todos quieren gritarle a TRUMP: https://bit.ly/3jfoWAY:=:https://mundohispanico.com/debate-biden-calla-a-trump/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4318893818127394/?type=3,,,,,,,"3,192","3,192"
Mundo Hispánico,mundohispanico,279933092023507,4593068,2020-10-15 20:19:51 EDT,Photo,499,1942,126,58,30,274,4,20,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4370999219583520,"¿YA PERDIÓ? En plena campaña, Trump acepta lo impensable de Joe Biden 👉🏻 https://bit.ly/37e2rJw:=:https://mundohispanico.com/trump-teme-perder-elecciones/",https://www.facebook.com/mundohispanico/photos/a.627444820605664/4370999096250199/?type=3,,MUNDO HISPANICO ÚLTIMA HORA,,,,,"2,956","2,956"
El Nuevo Día,elnuevodia,5996048750,2247996,2020-09-11 07:16:29 EDT,Link,739,1525,103,124,3,385,3,14,8,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158216339473751,"El grupo quiere llegar a demócratas, republicanos e independientes y recordarles las acciones de Donald Trump sobre la isla.",https://www.elnuevodia.com/corresponsalias/washington-dc/notas/boricuas-con-biden-se-organiza-para-movilizar-a-los-electores-puertorriquenos-en-estados-unidos/?utm_medium=Social&utm_source=Facebook#Echobox=1599821232,,,Boricuas con Biden se organizan para movilizar a los electores puertorriqueños en Estados Unidos,,,,"2,904","2,904"
Mundo Hispánico,mundohispanico,279933092023507,4592883,2020-10-20 11:59:19 EDT,Photo,276,2494,53,27,6,26,1,2,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4384952574854851,"¿TRUMP O BIDEN? A dos semanas de las elecciones, revelan quién lleva la delantera y quién GANARÍA si las presidenciales fuesen HOY https://bit.ly/35naxgC:=:https://mundohispanico.com/biden-amplia-su-ventaja-sobre-trump-en-estados-clave/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4384952351521540/?type=3,,UNITED to 3033,,,,,"2,888","2,888"
El Nuevo Día,elnuevodia,5996048750,2248559,2020-10-02 12:30:58 EDT,Link,552,702,679,7,174,611,18,42,4,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158267039508751,"VÍDEO | Horas antes de anunciar su diagnóstico, el presidente rechazó el uso frecuente de mascarillas y se burló de Joe Biden por hacerlo.",https://www.elnuevodia.com/noticias/estados-unidos/videos/el-momento-que-se-ha-vuelto-viral-tras-el-contagio-de-trump-268297/?utm_medium=Social&utm_source=Facebook#Echobox=1601653840,,,El momento que se ha vuelto viral tras el contagio de Trump,,,,"2,789","2,789"
Mundo Hispánico,mundohispanico,279933092023507,4593208,2020-10-17 07:01:14 EDT,Photo,316,1952,61,26,14,382,4,12,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4375211222495653,"""NO ME VOY A SENTIR BIEN”. Trump sorprende al decir lo que haría si pierde ante Biden (VIDEO) https://bit.ly/37a5hzk:=:https://mundohispanico.com/trump-se-iria-de-ee-uu-si-pierde-ante-biden/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4375211045829004/?type=3,,,,,,,"2,770","2,770"
Mundo Hispánico,mundohispanico,279933092023507,4578963,2020-09-16 14:01:28 EDT,Photo,1183,1083,126,96,32,210,4,2,7,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4272557139427729,¡SORPRESIVO! Biden rompe silencio sobre INDOCUMENTADOS: revela los primeros que recibirán ‘PAPELES’ y quiénes serán DEPORTADOS: https://bit.ly/33DYMkM:=:https://mundohispanico.com/biden-inmigrantes-plan/,https://www.facebook.com/mundohispanico/photos/a.283719258311557/4272544982762278/?type=3,,ΜΗ ÚLTIMA HORA,,,,,"2,743","2,743"
Mundo Hispánico,mundohispanico,279933092023507,4591841,2020-10-08 11:01:38 EDT,Photo,387,1361,131,21,26,193,13,400,2,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4347265185290257,"“FUERA DE CONTEXTO”. Eduardo Verástegui ataca a BIDEN tras confirmar apoyo a TRUMP, pero no imaginó quién destaparía su MENTIRA: https://bit.ly/2GwkH6a:=:https://mundohispanico.com/eduardo-verastegui-foto-biden-fuera-de-contexto/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4347265011956941/?type=3,,,,,,,"2,534","2,534"
Mundo Hispánico,mundohispanico,279933092023507,4587858,2020-09-29 22:03:29 EDT,Photo,836,1203,119,22,66,164,3,9,3,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4317629934920449,¡DEBATE FUERA DE CONTROL! BIDEN le echa en cara a TRUMP los muertos por coronavirus y el presidente se ve obligado a decir la 'verdad' 👉🏻 https://bit.ly/3489TCN:=:https://mundohispanico.com/primer-debate-trump-biden/,https://www.facebook.com/mundohispanico/photos/a.627444820605664/4317629531587156/?type=3,,ÚLTIMA HORA www.mundohispanico.com,,,,,"2,425","2,425"
El Nuevo Día,elnuevodia,5996048750,2247952,2020-09-16 16:11:12 EDT,Link,749,981,144,142,11,294,3,37,6,,0,0,0,N/A,https://www.facebook.com/elnuevodia/posts/10158229683068751,Mira el mensaje que grabó el dramaturgo.,https://www.elnuevodia.com/entretenimiento/cultura/notas/lin-manuel-miranda-pide-el-voto-de-los-latinos-para-biden-y-harris/?utm_medium=Social&utm_source=Facebook#Echobox=1600284629,,,Lin-Manuel Miranda pide el voto de los latinos para Biden y Harris,,,,"2,367","2,367"
Mundo Hispánico,mundohispanico,279933092023507,4575995,2020-09-14 08:30:00 EDT,Photo,863,1201,51,95,9,54,1,10,8,,0,0,0,N/A,https://www.facebook.com/mundohispanico/posts/4264625506887559,"TODOS CONTRA TRUMP. Con tal de 'sacar' al presidente de la Casa Blanca, JOE BIDEN recibe inesperada ayuda https://bit.ly/35BqNvZ:=:https://mundohispanico.com/bloomberg-ayuda-a-biden-a-ganar-florida/",https://www.facebook.com/mundohispanico/photos/a.283719258311557/4264625070220936/?type=3,,,,,,,"2,292","2,292"
